,Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,District,Area,Shopid,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins,popular,MetroStation
1939,16,0,3,0,0,0,31.23523,121.48022,15,17,57172068,0,0,0,0,0,0,0,0,0,0,0,0,0
1940,12,0,3,0,0,0,31.23896,121.40514,4,17,57201963,0,0,0,0,0,0,0,0,0,0,0,0,0
1941,11,0,3,0,0,0,31.22352,121.4475,11,3,57208176,0,0,0,0,0,0,0,0,0,1,0,0,0
1943,16,0,2,0,0,0,31.14826,121.1128,8,17,57248151,0,0,0,0,0,0,0,0,0,0,0,0,0
1944,12,0,3,0,0,0,31.27467,121.51621,16,17,57295955,0,0,0,0,0,0,0,0,0,11,0,0,0
1946,12,0,1,0,0,0,0,0,10,17,57306398,0,0,0,0,0,0,0,0,0,3,0,0,0
1947,12,0,1,0,0,0,0,0,6,2,57308874,0,0,0,0,0,0,0,0,0,0,0,0,0
1948,12,1,3,8,0,8,31.2991,121.45959,3,17,57310449,0,0,0,0,0,0,0,0,0,114,0,1,0
1949,14,0,3,0,0,0,0,0,12,17,57355302,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,12,0,3,0,0,0,31.29842,121.46046,3,17,57377620,0,0,0,0,0,0,0,0,0,6,0,0,0
1952,5,0,1,0,0,0,31.21783,121.53039,6,17,57386145,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,12,0,1,0,0,0,31.22369,121.53449,6,17,57402208,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,16,0,3,0,0,0,31.21402,121.4982,15,17,57408208,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,13,0,2,0,0,0,31.23682,121.48462,15,17,57412646,0,0,0,0,0,0,0,0,0,11,0,0,0
1956,9,0,2,0,0,0,31.15181,121.22844,8,17,57421685,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,9,0,2,0,0,0,31.15083,121.23,8,17,57421693,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,11,0,1,0,0,0,0,0,6,17,57422088,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,5,0,1,0,0,0,31.24175,121.55031,6,17,57438911,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,8,0,1,0,0,0,31.1922,121.42,5,17,57477435,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,12,0,3,0,0,0,31.17654,121.37127,12,17,57479803,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,11,0,2,0,0,0,31.19777,121.42461,7,17,57500676,0,0,0,0,0,0,0,0,0,2,0,0,0
1963,13,0,3,0,0,0,31.17678,121.38696,12,17,57531612,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,12,0,2,0,0,0,31.22637,121.47084,15,17,57559252,0,0,0,0,0,0,0,0,0,9,0,0,0
1965,11,0,2,0,0,8,31.29616,121.45853,3,17,57565304,0,0,0,0,0,0,0,0,0,16,0,1,0
1966,11,0,2,0,0,0,31.26721,121.3913,4,17,57575242,0,0,0,0,0,0,0,0,0,1,0,0,0
1967,12,0,3,0,0,0,0,0,3,17,57585154,0,0,0,0,0,0,0,0,0,10,0,0,0
1968,13,0,1,0,0,0,0,0,6,17,57624547,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,12,0,3,0,0,0,31.15866,121.42853,4,17,57628150,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,10,0,3,0,0,0,31.33632,121.44566,2,17,57674216,0,0,0,0,0,0,0,0,0,2,0,0,0
1971,11,0,1,0,0,0,0,0,5,6,57716960,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,12,0,1,0,0,0,0,0,6,17,57723658,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,14,0,3,0,0,0,31.03074,121.16728,17,17,57760148,0,0,0,0,0,0,0,0,0,1,0,0,0
1974,11,0,3,0,0,0,31.27493,121.45224,3,17,57771655,0,0,0,0,0,0,0,0,0,0,0,0,0
