,Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,Shopid,District,Area,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins
383,14,0,0,0,0,0,0,0,19282710,1,17,0,0,0,0,0,0,0,0,0,0,0
384,9,0,0,6.9,6.9,6.9,39.86831,116.37472,19282719,5,17,0,0,0,0,0,0,0,0,0,1,0
385,13,0,3,0,0,0,0,0,19282735,10,17,0,0,0,0,0,0,0,0,0,0,0
386,13,0,3,0,0,0,39.78947,116.32909,19282739,7,17,0,0,0,0,0,0,0,0,0,3,0
387,14,0,3,0,0,0,39.72601,116.14638,19289220,15,17,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,19299279,4,17,0,0,0,0,0,0,0,0,0,0,0
390,12,1,2,0,0,0,39.92323,116.17113,19350357,6,17,189,79,48,5,11,3,3,40,23,131,34
394,12,0,3,7,0,7,39.9245,116.59267,19495469,4,17,0,0,0,0,0,0,0,0,0,28,0
395,12,0,3,0,0,0,39.88914,116.65879,19609573,9,17,0,0,0,0,0,0,0,0,0,0,0
396,9,0,0,0,0,0,39.8356,116.2857,19615972,5,17,0,0,0,0,0,0,0,0,0,2,0
398,12,0,0,0,6.9,0,39.87313,116.29609,19621423,5,17,0,0,0,0,0,0,0,0,0,1,0
403,16,0,0,0,0,0,0,0,19709459,1,17,0,0,0,0,0,0,0,0,0,0,0
404,16,0,2,0,0,0,39.95317,116.40754,19825181,2,17,0,0,0,0,0,0,0,0,0,3,0
407,16,0,2,0,6.9,0,0,0,20245825,2,17,0,0,0,0,0,0,0,0,0,4,0
416,12,1,3,6.9,6.9,7,0,0,20644884,12,17,0,0,0,0,0,0,0,0,0,2,0
418,14,0,0,0,0,0,39.85033,116.43921,20714711,5,17,0,0,0,0,0,0,0,0,0,1,0
421,0,0,3,9,9,9,39.90566,116.63971,20874767,9,17,91,4,61,6,1,1,1,17,37,69,22
423,12,1,3,0,0,0,0,0,20897401,7,17,0,0,0,0,0,0,0,0,0,58,0
424,12,1,3,0,0,0,39.78937,116.32648,20912003,7,17,62,14,20,2,2,4,1,19,11,1032,224
425,10,0,0,0,0,0,39.84612,116.35842,21005072,5,17,0,0,0,0,0,0,0,0,0,3,0
